Ticker,Ex-Dividend Date,Yield,Period
PGZ,8/13/2020,11.00%,monthly
RTX,8/13/2020,2.56%,quarterly
RS,8/13/2020,2.40%,quarterly
OPP,8/13/2020,15.20%,monthly
RFM,8/13/2020,6.30%,monthly
RMM,8/13/2020,6.40%,monthly
RMI,8/13/2020,5.20%,monthly
RIV,8/13/2020,14.60%,monthly
SIGI,8/13/2020,1.69%,quarterly
SJR,8/13/2020,5.80%,monthly
SMBC,8/13/2020,2.70%,quarterly
STBI,8/13/2020,4.20%,quarterly
RGR,8/13/2020,24.80%,quarterly
SSBI,8/13/2020,4.70%,quarterly
TCF,8/13/2020,5.00%,quarterly
TFX,8/13/2020,0.37%,quarterly
TDE,8/13/2020,8.20%,quarterly
TSBK,8/13/2020,4.62%,quarterly
TANNL,8/13/2020,8.00%,quarterly
TFC,8/13/2020,4.85%,quarterly
UTL,8/13/2020,3.39%,quarterly
V,8/13/2020,0.60%,quarterly
WMT,8/13/2020,1.80%,quarterly
WEC,8/13/2020,2.90%,quarterly
WAL,8/13/2020,2.82%,quarterly
WAB,8/13/2020,0.74%,quarterly
AMGN,8/14/2020,2.56%,quarterly
ARR,8/14/2020,13.00%,monthly
APAM,8/14/2020,7.67%,quarterly
BG,8/14/2020,5.30%,quarterly
CF,8/14/2020,4.27%,quarterly
CC,8/14/2020,5.35%,quarterly
CORR,8/14/2020,2.02%,quarterly
SRV,8/14/2020,8.00%,monthly
SZC,8/14/2020,8.30%,monthly
DTF,8/14/2020,3.40%,monthly
DUC,8/14/2020,6.40%,monthly
EQNR,8/14/2020,4.60%,quarterly
GLU,8/14/2020,7.90%,monthly
GUT,8/14/2020,9.00%,monthly
GGN,8/14/2020,18.10%,monthly
GNT,8/14/2020,7.80%,monthly
HP,8/14/2020,3.70%,quarterly
HIW,8/14/2020,5.02%,quarterly
JEF,8/14/2020,3.86%,quarterly
LNN,8/14/2020,1.37%,quarterly
MNR,8/14/2020,4.68%,quarterly
OSK,8/14/2020,1.53%,quarterly
OXLC,8/14/2020,39.90%,monthly
OXSQ,8/14/2020,22.80%,monthly
ROK,8/14/2020,1.85%,quarterly
PER,8/14/2020,10.43%,quarterly
SO,8/14/2020,4.72%,quarterly
SWX,8/14/2020,3.00%,quarterly
SPOK,8/14/2020,5.18%,quarterly
EDF,8/14/2020,13.79%,monthly
EDI,8/14/2020,12.72%,monthly
GDV,8/14/2020,8.30%,monthly
GROW,8/14/2020,0.90%,monthly
UMH,8/14/2020,5.47%,quarterly
ADX,8/17/2020,1.28%,quarterly
PEO,8/17/2020,3.47%,quarterly
BHB,8/17/2020,4.40%,quarterly
BKH,8/17/2020,3.60%,quarterly
BKCC,8/17/2020,16.46%,quarterly
HRZN,8/17/2020,13.00%,monthly
PSX,8/17/2020,5.62%,quarterly
AFL,8/18/2020,3.09%,quarterly
BGCP,8/18/2020,1.49%,quarterly
CVX,8/18/2020,5.73%,quarterly
FOF,8/18/2020,9.90%,monthly
UTF,8/18/2020,8.50%,monthly
LDP,8/18/2020,7.70%,monthly
RQI,8/18/2020,9.00%,monthly
RNP,8/18/2020,7.90%,monthly
PSF,8/18/2020,7.70%,monthly
RFI,8/18/2020,8.00%,monthly
MIE,8/18/2020,8.50%,monthly
ED,8/18/2020,4.28%,quarterly
ETFC,8/18/2020,1.08%,quarterly
EQIX,8/18/2020,1.38%,quarterly
FTS,8/18/2020,3.53%,quarterly
MAC,8/18/2020,7.55%,quarterly
MAIN,8/18/2020,9.30%,monthly
MPC,8/18/2020,5.81%,quarterly
TGT,8/18/2020,2.27%,quarterly
VMC,8/18/2020,1.14%,quarterly
WBA,8/18/2020,4.42%,quarterly
AMAT,8/19/2020,1.59%,quarterly
CNP,8/19/2020,3.09%,quarterly
DFS,8/19/2020,3.38%,quarterly
EDUC,8/19/2020,2.38%,quarterly
ENR,8/19/2020,2.44%,quarterly
FWRD,8/19/2020,1.40%,quarterly
HTBI,8/19/2020,1.99%,quarterly
LFUS,8/19/2020,1.10%,quarterly
MSFT,8/19/2020,1.05%,quarterly
MCO,8/19/2020,0.80%,quarterly
NLSN,8/19/2020,1.55%,quarterly
RXN,8/19/2020,1.10%,quarterly
GRA,8/19/2020,2.53%,quarterly
BMRRY,8/20/2020,,semi-annual
CTSH,8/20/2020,1.36%,quarterly
CMI,8/20/2020,2.94%,quarterly
FSS,8/20/2020,1.08%,quarterly
HCI,8/20/2020,3.60%,quarterly
HCSG,8/20/2020,3.10%,quarterly
HSY,8/20/2020,2.26%,quarterly
MGPI,8/20/2020,1.34%,quarterly
MTX,8/20/2020,0.40%,quarterly
OTIS,8/20/2020,1.30%,quarterly
PRK,8/20/2020,5.90%,quarterly
SHW,8/20/2020,0.86%,quarterly
TTEK,8/20/2020,0.76%,quarterly
FHB,8/21/2020,5.90%,quarterly
MKSI,8/21/2020,0.60%,quarterly
R,8/21/2020,5.96%,quarterly
BC,8/24/2020,1.40%,quarterly
CRAI,8/24/2020,2.13%,quarterly
EFX,8/24/2020,0.93%,quarterly
JNJ,8/24/2020,2.70%,quarterly
SPB,8/24/2020,3.22%,quarterly
SPGI,8/25/2020,0.82%,quarterly
B,8/26/2020,1.70%,quarterly
LMAT,8/26/2020,1.30%,quarterly
MXIM,8/26/2020,2.79%,quarterly
SMG,8/26/2020,1.50%,quarterly
ALL,8/27/2020,2.40%,quarterly
CBT,8/27/2020,3.79%,quarterly
GLW,8/27/2020,3.10%,quarterly
EKTAY,8/27/2020,,semi-annual
EVR,8/27/2020,4.07%,quarterly
FQVLF,8/27/2020,,semi-annual
FBHS,8/27/2020,1.44%,quarterly
KHC,8/27/2020,4.50%,quarterly
NAT,8/27/2020,9.10%,quarterly
PRGO,8/27/2020,1.58%,quarterly
PDM,8/27/2020,5.37%,quarterly
USLM,8/27/2020,0.68%,quarterly
WING,8/27/2020,0.36%,quarterly
ACNB,8/28/2020,4.40%,quarterly
AIZ,8/28/2020,2.50%,quarterly
BOH,8/28/2020,4.70%,quarterly
BAX,8/28/2020,1.17%,quarterly
WHD,8/28/2020,1.59%,quarterly
CPF,8/28/2020,5.90%,quarterly
CR,8/28/2020,3.02%,quarterly
CSX,8/28/2020,1.52%,quarterly
HUBB,8/28/2020,2.70%,quarterly
MLAB,8/28/2020,0.30%,quarterly
NOA,8/28/2020,1.95%,quarterly
PCB,8/28/2020,4.10%,quarterly
SCHL,8/28/2020,2.10%,quarterly
SCL,8/28/2020,1.04%,quarterly
UBOH,8/28/2020,3.36%,quarterly
UZB,8/28/2020,8.00%,quarterly
VVV,8/28/2020,2.15%,quarterly
AEB,8/31/2020,4.50%,quarterly
ASB,8/31/2020,5.47%,quarterly
AGR,8/31/2020,3.90%,quarterly
BLL,8/31/2020,0.81%,quarterly
BGFV,8/31/2020,6.15%,quarterly
CLGX,8/31/2020,1.92%,quarterly
COWN,8/31/2020,0.90%,quarterly
DNKN,8/31/2020,2.35%,quarterly
EBAY,8/31/2020,1.14%,quarterly
FFBC,8/31/2020,6.73%,quarterly
FBC,8/31/2020,0.64%,quarterly
FSNUY,8/31/2020,1.28%,annual
FF,8/31/2020,2.00%,quarterly
GS,8/31/2020,2.30%,quarterly
HIG,8/31/2020,3.07%,quarterly
IBKR,8/31/2020,0.80%,quarterly
JNPR,8/31/2020,3.23%,quarterly
K,8/31/2020,3.33%,quarterly
KEY,8/31/2020,6.38%,quarterly
LMT,8/31/2020,2.67%,quarterly
MCD,8/31/2020,2.59%,quarterly
MCK,8/31/2020,1.08%,quarterly
MGEE,8/31/2020,2.20%,quarterly
NBTB,8/31/2020,3.64%,quarterly
PFG,8/31/2020,5.10%,quarterly
PRGS,8/31/2020,1.70%,quarterly
PBY,8/31/2020,6.40%,quarterly
SPKE,8/31/2020,10.18%,quarterly
SWK,8/31/2020,1.97%,quarterly
TW,8/31/2020,0.59%,quarterly
TAC,8/31/2020,1.95%,quarterly
TRMK,8/31/2020,3.88%,quarterly
TSN,8/31/2020,2.78%,quarterly
UFPI,8/31/2020,0.91%,quarterly
WTS,8/31/2020,1.09%,quarterly
AROW,9/1/2020,3.77%,quarterly
AVY,9/1/2020,1.89%,quarterly
NPO,9/1/2020,2.19%,quarterly
GHL,9/1/2020,1.90%,quarterly
HLI,9/1/2020,2.39%,quarterly
ICL,9/1/2020,3.80%,quarterly
ODFL,9/1/2020,0.33%,quarterly
PAHC,9/1/2020,2.02%,quarterly
PJT,9/1/2020,0.40%,quarterly
SLB,9/1/2020,2.50%,quarterly
LIN,9/2/2020,1.58%,quarterly
PTEN,9/2/2020,2.19%,quarterly
QCOM,9/2/2020,2.81%,quarterly
SSTK,9/2/2020,1.30%,quarterly
AMNB,9/3/2020,4.60%,quarterly
AJG,9/3/2020,1.72%,quarterly
BAC,9/3/2020,2.96%,quarterly
BOTJ,9/3/2020,2.80%,quarterly
BLK,9/3/2020,2.56%,quarterly
BF.A,9/3/2020,1.12%,quarterly
BF.B,9/3/2020,1.02%,quarterly
CASS,9/3/2020,2.78%,quarterly
FNB,9/3/2020,6.81%,quarterly
LUNMF,9/3/2020,2.11%,quarterly
MBWM,9/3/2020,5.10%,quarterly
PEP,9/3/2020,3.06%,quarterly
RF,9/3/2020,5.74%,quarterly
SEE,9/3/2020,1.74%,quarterly
SLM,9/3/2020,1.58%,quarterly
STRA,9/3/2020,1.47%,quarterly
SU,9/3/2020,3.70%,quarterly
TGNA,9/3/2020,2.40%,quarterly
TT,9/3/2020,2.14%,quarterly
UNF,9/3/2020,0.58%,quarterly
EGOV,9/4/2020,1.67%,quarterly
WRI,9/4/2020,4.31%,quarterly
BDX,9/8/2020,1.15%,quarterly
CNI,9/8/2020,1.75%,quarterly
HPQ,9/8/2020,4.14%,quarterly
PEG,9/8/2020,3.70%,quarterly
RCI,9/8/2020,3.60%,quarterly
AAT,9/9/2020,3.70%,quarterly
ANTM,9/9/2020,1.40%,quarterly
HOG,9/9/2020,0.30%,quarterly
NEM,9/9/2020,1.53%,quarterly
TRV,9/9/2020,2.78%,quarterly
TRTN,9/9/2020,6.00%,quarterly
UMBF,9/9/2020,2.49%,quarterly
CTXS,9/10/2020,1.00%,quarterly
FIS,9/10/2020,0.97%,quarterly
FHN,9/10/2020,6.47%,quarterly
G,9/10/2020,0.99%,quarterly
HEQ,9/10/2020,10.87%,quarterly
MANT,9/10/2020,1.85%,quarterly
NDAQ,9/10/2020,1.50%,quarterly
NTRS,9/10/2020,3.68%,quarterly
NRGX,9/10/2020,15.30%,quarterly
SNDR,9/10/2020,1.05%,quarterly
SAMG,9/10/2020,5.73%,quarterly
TXT,9/10/2020,0.23%,quarterly
WMB,9/10/2020,8.29%,quarterly
DVN,9/11/2020,3.60%,quarterly
FCNCA,9/11/2020,0.38%,quarterly
JRVR,9/11/2020,2.57%,quarterly
SPR,9/11/2020,0.16%,quarterly
PINE,9/14/2020,5.50%,quarterly
MO,9/14/2020,8.17%,quarterly
APH,9/14/2020,0.94%,quarterly
BXS,9/14/2020,3.28%,quarterly
CSWC,9/14/2020,10.90%,quarterly
KO,9/14/2020,3.56%,quarterly
CMA,9/14/2020,7.42%,quarterly
CTBI,9/14/2020,4.95%,quarterly
DNI,9/14/2020,7.80%,quarterly
DPZ,9/14/2020,0.75%,quarterly
DPG,9/14/2020,12.40%,quarterly
EFSC,9/14/2020,2.33%,quarterly
GRMN,9/14/2020,2.50%,quarterly
GPK,9/14/2020,2.09%,quarterly
MAXR,9/14/2020,0.23%,quarterly
MRK,9/14/2020,3.10%,quarterly
NWE,9/14/2020,4.25%,quarterly
OCCI,9/14/2020,22.20%,quarterly
OVV,9/14/2020,3.70%,quarterly
PB,9/14/2020,3.30%,quarterly
SFNC,9/14/2020,3.91%,quarterly
SAH,9/14/2020,1.04%,quarterly
TMO,9/14/2020,0.23%,quarterly
UGI,9/14/2020,4.00%,quarterly
WWE,9/14/2020,1.00%,quarterly
WOR,9/14/2020,2.60%,quarterly
FNF,9/15/2020,4.02%,quarterly
ICE,9/15/2020,1.30%,quarterly
MRTN,9/15/2020,0.56%,quarterly
MEOH,9/15/2020,0.74%,quarterly
RYN,9/15/2020,3.77%,quarterly
WU,9/15/2020,4.07%,quarterly
VST,9/15/2020,2.89%,quarterly
ARD,9/16/2020,4.20%,quarterly
HBAN,9/16/2020,6.27%,quarterly
ALB,9/17/2020,1.83%,quarterly
AIMC,9/17/2020,0.50%,quarterly
HRC,9/17/2020,0.81%,quarterly
QTS,9/17/2020,2.63%,quarterly
RBCAA,9/17/2020,3.62%,quarterly
TSM,9/17/2020,2.50%,quarterly
DTE,9/18/2020,3.91%,quarterly
NEWT,9/18/2020,13.06%,quarterly
OMC,9/18/2020,4.81%,quarterly
SPE,9/18/2020,9.80%,monthly
WRE,9/18/2020,5.49%,quarterly
NJR,9/21/2020,3.98%,quarterly
BFC,9/22/2020,1.30%,quarterly
STX,9/22/2020,5.88%,quarterly
GTY,9/23/2020,4.96%,quarterly
CP,9/24/2020,1.00%,quarterly
CONE,9/24/2020,2.47%,quarterly
XRAY,9/24/2020,0.89%,quarterly
RBC,9/24/2020,1.30%,quarterly
BGS,9/29/2020,6.87%,quarterly
FMC,9/29/2020,1.65%,quarterly
LECO,9/29/2020,2.14%,quarterly
MDLZ,9/29/2020,2.24%,quarterly
OFG,9/29/2020,2.09%,quarterly
REXR,9/29/2020,2.08%,quarterly
TFII,9/29/2020,1.79%,quarterly
XRX,9/29/2020,6.39%,quarterly
AUY,9/29/2020,1.10%,quarterly
APD,9/30/2020,1.87%,quarterly
CUBE,9/30/2020,4.48%,quarterly
EHC,9/30/2020,1.71%,quarterly
RSG,9/30/2020,1.96%,quarterly
SSD,9/30/2020,1.00%,quarterly
TANNI,9/30/2020,8.10%,quarterly
WWW,9/30/2020,1.65%,quarterly
BTI,10/1/2020,8.40%,quarterly
SNN,10/1/2020,,semi-annual
MFO,10/13/2020,9.60%,quarterly
PKI,10/15/2020,0.25%,quarterly
APO,8/17/2020,4.70%,quarterly
AFT,8/17/2020,6.20%,monthly
AIF,8/17/2020,6.46%,monthly
BGSF,8/17/2020,2.00%,quarterly
TECH,8/17/2020,0.48%,quarterly
DMB,8/17/2020,4.59%,monthly
CABO,8/17/2020,0.54%,quarterly
CSL,8/17/2020,1.67%,quarterly
CRD.B,8/17/2020,2.44%,quarterly
CRD.A,8/17/2020,2.19%,quarterly
CIK,8/17/2020,9.50%,monthly
DHY,8/17/2020,9.50%,monthly
ENBL,8/17/2020,12.57%,quarterly
GNE,8/17/2020,4.02%,quarterly
JACK,8/17/2020,2.00%,quarterly
MTRN,8/17/2020,0.80%,quarterly
NHTC,8/17/2020,13.40%,quarterly
ORA,8/17/2020,0.74%,quarterly
PTVCB,8/17/2020,2.59%,quarterly
PTVCA,8/17/2020,2.50%,quarterly
SMM,8/17/2020,5.58%,quarterly
SXC,8/17/2020,7.40%,quarterly
SWCH,8/17/2020,1.11%,quarterly
SHYF,8/17/2020,0.55%,quarterly
TROX,8/17/2020,3.00%,quarterly
WELL,8/17/2020,4.59%,quarterly
XFLT,8/17/2020,12.00%,monthly
AMAL,8/18/2020,2.76%,quarterly
ARMK,8/18/2020,2.10%,quarterly
ADM,8/18/2020,3.32%,quarterly
AGO,8/18/2020,3.60%,quarterly
BWXT,8/18/2020,1.31%,quarterly
DK,8/18/2020,8.07%,quarterly
EURN,8/18/2020,11.00%,quarterly
FBK,8/18/2020,1.41%,quarterly
FMX,8/18/2020,2.60%,semi-annual
HL,8/18/2020,0.12%,quarterly
HNNA,8/18/2020,6.77%,quarterly
L,8/18/2020,0.71%,quarterly
MCR,8/18/2020,8.06%,monthly
CMU,8/18/2020,4.90%,monthly
MIN,8/18/2020,9.02%,monthly
MMT,8/18/2020,8.44%,monthly
MFM,8/18/2020,4.70%,monthly
MFV,8/18/2020,10.10%,monthly
NRP,8/18/2020,17.56%,quarterly
PFLT,8/18/2020,13.12%,monthly
PHI,8/18/2020,3.90%,semi-annual
POWL,8/18/2020,3.74%,quarterly
PRMW,8/18/2020,1.70%,quarterly
RMAX,8/18/2020,2.65%,quarterly
ADTN,8/19/2020,2.97%,quarterly
AMOT,8/19/2020,0.29%,quarterly
AVA,8/19/2020,4.23%,quarterly
IGR,8/19/2020,9.70%,monthly
EVRG,8/19/2020,3.65%,quarterly
FDBC,8/19/2020,2.50%,quarterly
FCBP,8/19/2020,6.40%,quarterly
GFF,8/19/2020,1.45%,quarterly
PROV,8/19/2020,4.60%,quarterly
RMD,8/19/2020,0.89%,quarterly
SNA,8/19/2020,2.95%,quarterly
SBSI,8/19/2020,4.23%,quarterly
THQ,8/19/2020,7.25%,monthly
THW,8/19/2020,9.58%,monthly
TRI,8/19/2020,2.00%,quarterly
TRU,8/19/2020,0.35%,quarterly
UMPQ,8/19/2020,7.00%,quarterly
FAX,8/20/2020,8.00%,monthly
IAF,8/20/2020,10.10%,quarterly
FCO,8/20/2020,11.50%,monthly
ACP,8/20/2020,13.70%,monthly
AOD,8/20/2020,8.50%,monthly
AGD,8/20/2020,8.20%,monthly
AWP,8/20/2020,9.80%,monthly
BBSI,8/20/2020,2.05%,quarterly
CLPR,8/20/2020,4.87%,quarterly
CCOI,8/20/2020,3.57%,quarterly
ESXB,8/20/2020,3.82%,quarterly
CORE,8/20/2020,1.50%,quarterly
DEX,8/20/2020,6.93%,monthly
FLIR,8/20/2020,1.80%,quarterly
GHM,8/20/2020,3.08%,quarterly
HE,8/20/2020,3.80%,quarterly
IEP,8/20/2020,14.40%,quarterly
MGA,8/20/2020,3.20%,quarterly
MCHP,8/20/2020,1.37%,quarterly
MIXT,8/20/2020,1.90%,quarterly
PCSB,8/20/2020,1.30%,quarterly
PBI,8/20/2020,4.52%,quarterly
PRI,8/20/2020,1.22%,quarterly
PUK,8/20/2020,1.90%,semi-annual
SWM,8/20/2020,5.33%,quarterly
TEL,8/20/2020,2.13%,quarterly
TKR,8/20/2020,2.10%,quarterly
WD,8/20/2020,2.81%,quarterly
AEG,8/21/2020,2.10%,semi-annual
ATO,8/21/2020,2.22%,quarterly
DLX,8/21/2020,4.10%,quarterly
FGB,8/21/2020,10.71%,quarterly
HVT.A,8/21/2020,4.25%,quarterly
HVT,8/21/2020,4.49%,quarterly
MFD,8/21/2020,9.52%,quarterly
NATH,8/21/2020,2.80%,quarterly
NLOK,8/21/2020,2.26%,quarterly
RDN,8/21/2020,3.23%,quarterly
TIPT,8/21/2020,2.98%,quarterly
TTP,8/21/2020,4.43%,quarterly
TSCO,8/21/2020,1.10%,quarterly
UPS,8/21/2020,2.52%,quarterly
WSTG,8/21/2020,3.07%,quarterly
EQH,8/10/2020,3.30%,quarterly
KMT,8/10/2020,2.81%,quarterly
MTG,8/10/2020,2.90%,quarterly
PZZA,8/10/2020,0.90%,quarterly
SSSS,8/10/2020,4.80%,monthly
CG,8/10/2020,3.70%,quarterly
BFIN,8/11/2020,5.44%,quarterly
BWMX,8/11/2020,4.10%,quarterly
FCEF,8/11/2020,5.64%,monthly
MCEF,8/11/2020,3.36%,monthly
LARK,8/11/2020,3.90%,quarterly
SASR,8/11/2020,5.20%,quarterly
WETF,8/11/2020,3.47%,quarterly
CBH,8/12/2020,5.90%,monthly
NCV,8/12/2020,10.57%,monthly
NCZ,8/12/2020,10.70%,monthly
ACV,8/12/2020,7.65%,monthly
ASTE,8/12/2020,0.97%,quarterly
CURO,8/12/2020,2.89%,quarterly
FANG,8/12/2020,3.58%,quarterly
DSL,8/12/2020,11.30%,monthly
DBL,8/12/2020,6.80%,monthly
DEA,8/12/2020,4.30%,quarterly
CEV,8/12/2020,4.10%,monthly
EFL,8/12/2020,5.13%,monthly
EVV,8/12/2020,10.20%,monthly
EVN,8/12/2020,4.40%,monthly
ETR,8/12/2020,3.54%,quarterly
JBGS,8/12/2020,3.20%,quarterly
PDT,8/12/2020,8.60%,monthly
HPF,8/12/2020,8.00%,monthly
HPI,8/12/2020,7.00%,monthly
HPS,8/12/2020,7.90%,monthly
HTD,8/12/2020,8.49%,monthly
EVF,8/12/2020,6.39%,monthly
OPY,8/12/2020,2.30%,quarterly
PBFX,8/12/2020,12.50%,quarterly
PCM,8/12/2020,9.90%,monthly
PCK,8/12/2020,4.07%,monthly
PZC,8/12/2020,4.21%,monthly
PCQ,8/12/2020,4.59%,monthly
PCN,8/12/2020,8.44%,monthly
PTY,8/12/2020,9.90%,monthly
PCI,8/12/2020,10.77%,monthly
PDI,8/12/2020,10.54%,monthly
PGP,8/12/2020,9.84%,monthly
PHK,8/12/2020,10.90%,monthly
PKO,8/12/2020,9.33%,monthly
PFL,8/12/2020,10.60%,monthly
PFN,8/12/2020,10.55%,monthly
PMF,8/12/2020,4.57%,monthly
PML,8/12/2020,5.04%,monthly
PMX,8/12/2020,4.56%,monthly
PNI,8/12/2020,4.34%,monthly
POOL,8/12/2020,0.70%,quarterly
SC,8/12/2020,4.70%,quarterly
RCS,8/12/2020,9.30%,monthly
TBNK,8/12/2020,4.20%,quarterly
VSDA,8/12/2020,0.56%,monthly
CEY,8/12/2020,18.24%,monthly
CEZ,8/12/2020,7.99%,monthly
CID,8/12/2020,0.87%,monthly
CIL,8/12/2020,1.05%,monthly
CFO,8/12/2020,0.02%,monthly
CFA,8/12/2020,0.57%,monthly
CSF,8/12/2020,0.37%,monthly
CDC,8/12/2020,1.27%,monthly
CDL,8/12/2020,1.42%,monthly
VSMV,8/12/2020,0.95%,monthly
CSB,8/12/2020,6.89%,monthly
CSA,8/12/2020,0.87%,monthly
VNOM,8/12/2020,1.11%,quarterly
XLNX,8/12/2020,1.40%,quarterly
ZION,8/12/2020,4.19%,quarterly
AVK,8/13/2020,9.91%,monthly
ALE,8/13/2020,4.20%,quarterly
AZN,8/13/2020,2.50%,semi-annual
RILY,8/13/2020,4.60%,quarterly
REYN,8/13/2020,2.79%,quarterly
BGIO,8/13/2020,7.06%,monthly
HYT,8/13/2020,8.60%,monthly
BHK,8/13/2020,5.06%,monthly
BTZ,8/13/2020,6.99%,monthly
DSU,8/13/2020,8.50%,monthly
CII,8/13/2020,6.83%,monthly
BDJ,8/13/2020,8.02%,monthly
BOE,8/13/2020,7.77%,monthly
EGF,8/13/2020,3.71%,monthly
BGY,8/13/2020,7.47%,monthly
FRA,8/13/2020,8.26%,monthly
BGT,8/13/2020,8.09%,monthly
BGR,8/13/2020,7.78%,monthly
BME,8/13/2020,5.52%,monthly
BKT,8/13/2020,6.70%,monthly
BAF,8/13/2020,4.64%,monthly
BYM,8/13/2020,3.96%,monthly
BKN,8/13/2020,4.50%,monthly
BTA,8/13/2020,4.76%,monthly
BLW,8/13/2020,7.83%,monthly
BZM,8/13/2020,3.60%,monthly
BIT,8/13/2020,9.67%,monthly
BBF,8/13/2020,4.54%,monthly
